"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent
World,680435570,116377.0,6804045.0,723.0,653197193.0,141550.0,20434332.0,87294.0,872.9,0.0,0.0,0.0,All
USA,105384017,10500.0,1146630.0,130.0,102790152.0,42067.0,1447235.0,314762.0,3425.0,1167463368.0,3486992.0,334805269.0,North America
India,44687162,283.0,530772.0,0.0,44153865.0,197.0,2525.0,31769.0,377.0,918891634.0,653257.0,1406631776.0,Asia
France,39630952,4196.0,165009.0,21.0,39394139.0,3341.0,71804.0,604273.0,2516.0,271490188.0,4139547.0,65584518.0,Europe
Germany,38202571,12617.0,168296.0,121.0,37729600.0,13900.0,304675.0,455424.0,2006.0,122332384.0,1458359.0,83883596.0,Europe
Brazil,37066791,3327.0,699230.0,33.0,36241001.0,0.0,126560.0,172121.0,3247.0,63776166.0,296146.0,215353593.0,South America
Japan,33230544,11506.0,72573.0,87.0,21687770.0,2053.0,11470201.0,264606.0,578.0,95386077.0,759535.0,125584838.0,Asia
S. Korea,30533573,7561.0,34003.0,15.0,30316211.0,12040.0,183359.0,594850.0,662.0,15804065.0,307892.0,51329899.0,Asia
Italy,25603510,3497.0,188322.0,28.0,25267118.0,3435.0,148070.0,424864.0,3125.0,268196399.0,4450449.0,60262770.0,Europe
UK,24370154,0.0,206952.0,0.0,24094535.0,3210.0,68667.0,355780.0,3021.0,522526476.0,7628357.0,68497907.0,Europe
Russia,22300004,14096.0,396176.0,39.0,21645346.0,13937.0,258482.0,152943.0,2717.0,273400000.0,1875095.0,145805947.0,Europe
Turkey,17042722,0.0,101492.0,0.0,,,,199186.0,1186.0,162743369.0,1902052.0,85561976.0,Asia
Spain,13769414,1013.0,119464.0,14.0,13614600.0,1279.0,35350.0,294727.0,2557.0,471036328.0,10082298.0,46719142.0,Europe
Vietnam,11526937,11.0,43186.0,0.0,10614783.0,6.0,868968.0,116488.0,436.0,85826548.0,867342.0,98953541.0,Asia
Australia,11382795,2739.0,19447.0,13.0,11330039.0,2538.0,33309.0,436645.0,746.0,78835048.0,3024116.0,26068792.0,Australia/Oceania
Taiwan,10069538,14102.0,18010.0,35.0,9755633.0,19583.0,295895.0,421521.0,754.0,30742304.0,1286903.0,23888595.0,Asia
Argentina,10044125,0.0,130463.0,0.0,9909866.0,0.0,3796.0,218302.0,2836.0,35716069.0,776264.0,46010234.0,South America
Netherlands,8597625,619.0,22992.0,0.0,8559002.0,186.0,15631.0,499529.0,1336.0,25984435.0,1509718.0,17211447.0,Europe
Iran,7569261,358.0,144864.0,6.0,7339518.0,61.0,84879.0,87991.0,1684.0,55034937.0,639771.0,86022837.0,Asia
Mexico,7459860,8431.0,333038.0,50.0,6696871.0,5957.0,429951.0,56702.0,2531.0,19572325.0,148768.0,131562772.0,North America
Indonesia,6736576,278.0,160920.0,4.0,6572098.0,253.0,3558.0,24134.0,576.0,114158919.0,408975.0,279134505.0,Asia
Poland,6425492,3028.0,118924.0,26.0,5335940.0,0.0,970628.0,170258.0,3151.0,38288150.0,1014530.0,37739785.0,Europe
Colombia,6360089,0.0,142629.0,0.0,6183658.0,0.0,33802.0,123466.0,2769.0,36951507.0,717327.0,51512762.0,South America
Austria,5926317,6388.0,21916.0,9.0,5846362.0,4011.0,58039.0,653635.0,2417.0,211273524.0,23302116.0,9066710.0,Europe
Greece,5871458,0.0,36185.0,0.0,5806578.0,1598.0,28695.0,569125.0,3507.0,102228365.0,9909078.0,10316637.0,Europe
Portugal,5568084,0.0,26180.0,0.0,5537727.0,0.0,4177.0,549090.0,2582.0,45980330.0,4534294.0,10140570.0,Europe
Ukraine,5389439,0.0,111235.0,0.0,5265637.0,0.0,12567.0,124778.0,2575.0,32603805.0,754855.0,43192122.0,Europe
Chile,5172090,2951.0,64197.0,20.0,5101501.0,1963.0,6392.0,268677.0,3335.0,48470891.0,2517943.0,19250195.0,South America
Malaysia,5043252,244.0,36965.0,5.0,4996818.0,0.0,9469.0,151992.0,1114.0,68217426.0,2055914.0,33181072.0,Asia
Israel,4800397,757.0,12303.0,11.0,4781252.0,0.0,6842.0,514733.0,1319.0,41373364.0,4436346.0,9326000.0,Asia
DPRK,4772813,0.0,74.0,0.0,4772739.0,0.0,0.0,183636.0,3.0,0.0,0.0,25990679.0,Asia
Thailand,4728035,0.0,33911.0,0.0,4692636.0,0.0,1488.0,67468.0,484.0,17270775.0,246450.0,70078203.0,Asia
Belgium,4727795,1449.0,33775.0,8.0,4660013.0,558.0,34007.0,405184.0,2895.0,36752058.0,3149741.0,11668278.0,Europe
Czechia,4611996,984.0,42453.0,6.0,4558478.0,172.0,11065.0,429551.0,3954.0,57008620.0,5309655.0,10736784.0,Europe
Canada,4591149,0.0,51249.0,0.0,4502066.0,1530.0,37834.0,119597.0,1335.0,66343123.0,1728207.0,38388419.0,North America
Peru,4486282,248.0,219448.0,9.0,4264923.0,325.0,1911.0,133187.0,6515.0,38053752.0,1129721.0,33684208.0,South America
Switzerland,4391007,0.0,14452.0,0.0,4373026.0,1777.0,3529.0,500477.0,1647.0,23833472.0,2716487.0,8773637.0,Europe
Philippines,4076562,158.0,66126.0,8.0,4001136.0,66.0,9300.0,36233.0,588.0,34611586.0,307634.0,112508994.0,Asia
South Africa,4064457,594.0,102595.0,0.0,3912506.0,0.0,49356.0,66898.0,1689.0,26795090.0,441027.0,60756135.0,Africa
Romania,3340342,0.0,67704.0,0.0,3263301.0,0.0,9337.0,175518.0,3558.0,26676248.0,1401701.0,19031335.0,Europe
Denmark,3175332,68.0,8272.0,3.0,3166156.0,76.0,904.0,544192.0,1418.0,129198860.0,22142239.0,5834950.0,Europe
Hong Kong,2883528,75.0,13460.0,0.0,2851147.0,2292.0,18921.0,379197.0,1770.0,76127725.0,10011143.0,7604299.0,Asia
Sweden,2698535,0.0,23703.0,0.0,2671071.0,424.0,3761.0,264071.0,2320.0,19477620.0,1906026.0,10218971.0,Europe
Serbia,2494381,1818.0,17839.0,13.0,2461837.0,933.0,14705.0,288267.0,2062.0,12415033.0,1434764.0,8653016.0,Europe
Iraq,2465545,0.0,25375.0,0.0,2439497.0,0.0,673.0,58474.0,602.0,19544451.0,463523.0,42164965.0,Asia
Singapore,2230570,0.0,1722.0,0.0,2149583.0,0.0,79265.0,375293.0,290.0,24756666.0,4165302.0,5943546.0,Asia
New Zealand,2216852,0.0,3904.0,0.0,2205354.0,0.0,7594.0,452585.0,797.0,7768604.0,1586011.0,4898203.0,Australia/Oceania
Hungary,2195926,0.0,48751.0,0.0,2143184.0,0.0,3991.0,228593.0,5075.0,11394556.0,1186160.0,9606259.0,Europe
Bangladesh,2037829,0.0,29445.0,0.0,1998448.0,0.0,9936.0,12138.0,175.0,15254399.0,90862.0,167885689.0,Asia
Slovakia,1863115,93.0,21026.0,2.0,1840899.0,90.0,1190.0,341218.0,3851.0,7404376.0,1356065.0,5460193.0,Europe
