"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,DateCollected
World,679742243,75340.0,6798879.0,296.0,652512495.0,104956.0,20430869.0,87205.0,872.2,0.0,0.0,0.0,All,2023-02-26
USA,105260507,5336.0,1145365.0,19.0,102620644.0,15634.0,1494498.0,314393.0,3421.0,1166749212.0,3484859.0,334805269.0,North America,2023-02-26
India,44686202,185.0,530770.0,1.0,44153203.0,104.0,2229.0,31768.0,377.0,918535118.0,653003.0,1406631776.0,Asia,2023-02-26
France,39615739,2942.0,164877.0,0.0,39378241.0,718.0,72621.0,604041.0,2514.0,271490188.0,4139547.0,65584518.0,Europe,2023-02-26
Germany,38111063,0.0,167812.0,0.0,37661500.0,2900.0,281751.0,454333.0,2001.0,122332384.0,1458359.0,83883596.0,Europe,2023-02-26
Brazil,37024417,952.0,698947.0,14.0,36185975.0,0.0,139495.0,171924.0,3246.0,63776166.0,296146.0,215353593.0,South America,2023-02-26
Japan,33184966,12399.0,72268.0,62.0,21682369.0,1565.0,11430329.0,264243.0,575.0,94989804.0,756380.0,125584838.0,Asia,2023-02-26
S. Korea,30498878,9212.0,33946.0,6.0,30278039.0,32587.0,186893.0,594174.0,661.0,15804065.0,307892.0,51329899.0,Asia,2023-02-26
Italy,25576852,0.0,188094.0,0.0,25219653.0,0.0,169105.0,424422.0,3121.0,267663187.0,4441601.0,60262770.0,Europe,2023-02-26
UK,24341615,0.0,206246.0,0.0,24080781.0,2450.0,54588.0,355363.0,3011.0,522526476.0,7628357.0,68497907.0,Europe,2023-02-26
Russia,22253137,9574.0,396035.0,31.0,21591237.0,9774.0,265865.0,152622.0,2716.0,273400000.0,1875095.0,145805947.0,Europe,2023-02-26
Turkey,17042722,0.0,101492.0,0.0,,,,199186.0,1186.0,162743369.0,1902052.0,85561976.0,Asia,2023-02-26
Spain,13763336,0.0,119380.0,0.0,13607068.0,0.0,36888.0,294597.0,2555.0,471036328.0,10082298.0,46719142.0,Europe,2023-02-26
Vietnam,11526901,10.0,43186.0,0.0,10614760.0,1.0,868955.0,116488.0,436.0,85826548.0,867342.0,98953541.0,Asia,2023-02-26
Australia,11366361,0.0,19373.0,0.0,11314814.0,0.0,32174.0,436014.0,743.0,78835048.0,3024116.0,26068792.0,Australia/Oceania,2023-02-26
Argentina,10044125,817.0,130463.0,5.0,9908958.0,456.0,4704.0,218302.0,2836.0,35716069.0,776264.0,46010234.0,South America,2023-02-26
Taiwan,10025363,13087.0,17864.0,46.0,9667651.0,16572.0,339848.0,419672.0,748.0,30742304.0,1286903.0,23888595.0,Asia,2023-02-26
Netherlands,8593293,284.0,22992.0,0.0,8558127.0,280.0,12174.0,499278.0,1336.0,25984435.0,1509718.0,17211447.0,Europe,2023-02-26
Iran,7567702,83.0,144842.0,7.0,7339205.0,76.0,83655.0,87973.0,1684.0,55034937.0,639771.0,86022837.0,Asia,2023-02-26
Mexico,7443151,0.0,332938.0,0.0,6680289.0,0.0,429924.0,56575.0,2531.0,19551137.0,148607.0,131562772.0,North America,2023-02-26
Indonesia,6735628,177.0,160908.0,3.0,6571187.0,224.0,3533.0,24130.0,576.0,114158919.0,408975.0,279134505.0,Asia,2023-02-26
Poland,6415279,426.0,118868.0,0.0,5335940.0,0.0,960471.0,169987.0,3150.0,38257738.0,1013724.0,37739785.0,Europe,2023-02-26
Colombia,6359464,0.0,142615.0,0.0,6182304.0,0.0,34545.0,123454.0,2769.0,36951507.0,717327.0,51512762.0,South America,2023-02-26
Austria,5902140,4847.0,21881.0,3.0,5826601.0,5229.0,53658.0,650968.0,2413.0,211273524.0,23302116.0,9066710.0,Europe,2023-02-26
Greece,5849949,7294.0,36077.0,11.0,5801794.0,3196.0,12078.0,567040.0,3497.0,102228365.0,9909078.0,10316637.0,Europe,2023-02-26
Portugal,5566708,0.0,26117.0,0.0,5537148.0,0.0,3443.0,548954.0,2575.0,45968702.0,4533148.0,10140570.0,Europe,2023-02-26
Ukraine,5382095,0.0,111175.0,0.0,5261929.0,0.0,8991.0,124608.0,2574.0,32603805.0,754855.0,43192122.0,Europe,2023-02-26
Chile,5163316,2107.0,64166.0,8.0,5093198.0,2668.0,5952.0,268221.0,3333.0,48421758.0,2515391.0,19250195.0,South America,2023-02-26
Malaysia,5042395,207.0,36957.0,0.0,4996232.0,175.0,9206.0,151966.0,1114.0,68070708.0,2051492.0,33181072.0,Asia,2023-02-26
Israel,4797689,123.0,12269.0,1.0,4781252.0,0.0,4168.0,514442.0,1316.0,41373364.0,4436346.0,9326000.0,Asia,2023-02-26
DPRK,4772813,0.0,74.0,0.0,4772739.0,0.0,0.0,183636.0,3.0,0.0,0.0,25990679.0,Asia,2023-02-26
Thailand,4727831,0.0,33902.0,0.0,4692636.0,0.0,1293.0,67465.0,484.0,17270775.0,246450.0,70078203.0,Asia,2023-02-26
Belgium,4717655,0.0,33717.0,0.0,4657782.0,367.0,26156.0,404315.0,2890.0,36709556.0,3146099.0,11668278.0,Europe,2023-02-26
Czechia,4608036,147.0,42429.0,4.0,4556335.0,998.0,9272.0,429182.0,3952.0,56990464.0,5307964.0,10736784.0,Europe,2023-02-26
Canada,4589808,1341.0,51222.0,27.0,4496044.0,1575.0,42542.0,119562.0,1334.0,66343123.0,1728207.0,38388419.0,North America,2023-02-26
Peru,4485282,0.0,219395.0,0.0,4264224.0,0.0,1663.0,133157.0,6513.0,37997691.0,1128057.0,33684208.0,South America,2023-02-26
Switzerland,4389655,0.0,14452.0,0.0,4371249.0,0.0,3954.0,500323.0,1647.0,23833472.0,2716487.0,8773637.0,Europe,2023-02-26
Philippines,4076142,22.0,66097.0,14.0,4000813.0,175.0,9232.0,36229.0,587.0,34578364.0,307339.0,112508994.0,Asia,2023-02-26
South Africa,4062323,745.0,102595.0,0.0,3912506.0,0.0,47222.0,66863.0,1689.0,26473049.0,435726.0,60756135.0,Africa,2023-02-26
Romania,3335131,0.0,67675.0,0.0,3260130.0,0.0,7326.0,175244.0,3556.0,26603809.0,1397895.0,19031335.0,Europe,2023-02-26
Denmark,3175078,109.0,8254.0,10.0,3165682.0,0.0,1142.0,544148.0,1415.0,129190878.0,22140871.0,5834950.0,Europe,2023-02-26
Hong Kong,2883157,102.0,13451.0,2.0,2841868.0,3505.0,27838.0,379148.0,1769.0,76127725.0,10011143.0,7604299.0,Asia,2023-02-26
Sweden,2697827,0.0,23633.0,0.0,2670235.0,217.0,3959.0,264002.0,2313.0,19469139.0,1905196.0,10218971.0,Europe,2023-02-26
Serbia,2490810,499.0,17816.0,9.0,2459376.0,787.0,13618.0,287855.0,2059.0,12377861.0,1430468.0,8653016.0,Europe,2023-02-26
Iraq,2465545,0.0,25375.0,0.0,2439497.0,0.0,673.0,58474.0,602.0,19544451.0,463523.0,42164965.0,Asia,2023-02-26
Singapore,2222006,0.0,1722.0,0.0,2149583.0,0.0,70701.0,373852.0,290.0,24756666.0,4165302.0,5943546.0,Asia,2023-02-26
New Zealand,2215555,1296.0,3898.0,5.0,2204178.0,1176.0,7479.0,452320.0,796.0,7768604.0,1586011.0,4898203.0,Australia/Oceania,2023-02-26
Hungary,2194969,0.0,48745.0,0.0,2142682.0,0.0,3542.0,228494.0,5074.0,11394556.0,1186160.0,9606259.0,Europe,2023-02-26
Bangladesh,2037773,0.0,29445.0,0.0,1998448.0,0.0,9880.0,12138.0,175.0,15254399.0,90862.0,167885689.0,Asia,2023-02-26
Slovakia,1862760,44.0,21017.0,1.0,1840569.0,42.0,1174.0,341153.0,3849.0,7402195.0,1355665.0,5460193.0,Europe,2023-02-26
Georgia,1825598,0.0,16965.0,0.0,1776548.0,0.0,32085.0,459995.0,4275.0,16920079.0,4263340.0,3968738.0,Asia,2023-02-26
Jordan,1746997,0.0,14122.0,0.0,1731007.0,0.0,1868.0,169597.0,1371.0,17201885.0,1669945.0,10300869.0,Asia,2023-02-26
Ireland,1702523,0.0,8629.0,0.0,1691938.0,203.0,1956.0,339135.0,1719.0,13024205.0,2594360.0,5020199.0,Europe,2023-02-26
Pakistan,1576916,36.0,30643.0,0.0,1538689.0,0.0,7584.0,6871.0,134.0,30570862.0,133213.0,229488994.0,Asia,2023-02-26
Norway,1478907,19.0,5112.0,0.0,1473175.0,40.0,620.0,268337.0,928.0,11002430.0,1996315.0,5511370.0,Europe,2023-02-26
Finland,1462169,0.0,8892.0,0.0,1451606.0,116.0,1671.0,263219.0,1601.0,12047792.0,2168835.0,5554960.0,Europe,2023-02-26
Kazakhstan,1407351,0.0,13846.0,0.0,1383020.0,0.0,10485.0,73280.0,721.0,11575012.0,602707.0,19205043.0,Asia,2023-02-26
Slovenia,1327516,103.0,7071.0,0.0,1316762.0,255.0,3683.0,638833.0,3403.0,2836198.0,1364847.0,2078034.0,Europe,2023-02-26
Lithuania,1304068,40.0,9585.0,0.0,1288358.0,33.0,6125.0,489937.0,3601.0,10373322.0,3897243.0,2661708.0,Europe,2023-02-26
Bulgaria,1296668,26.0,38211.0,0.0,1255510.0,13.0,2947.0,189444.0,5583.0,11048403.0,1614179.0,6844597.0,Europe,2023-02-26
Morocco,1272445,3.0,16296.0,0.0,1256077.0,16.0,72.0,33687.0,431.0,12981405.0,343671.0,37772756.0,Africa,2023-02-26
Croatia,1268666,0.0,17950.0,0.0,1250175.0,0.0,541.0,312534.0,4422.0,5503682.0,1355825.0,4059286.0,Europe,2023-02-26
Guatemala,1235970,52.0,20168.0,1.0,1214612.0,70.0,1190.0,66507.0,1085.0,6909090.0,371775.0,18584039.0,North America,2023-02-26
Lebanon,1231713,136.0,10825.0,2.0,1087587.0,0.0,133301.0,184254.0,1619.0,4795578.0,717380.0,6684849.0,Asia,2023-02-26
Costa Rica,1199055,0.0,9214.0,0.0,860711.0,0.0,329130.0,231373.0,1778.0,4659757.0,899158.0,5182354.0,North America,2023-02-26
Bolivia,1192888,192.0,22365.0,1.0,1157111.0,290.0,13412.0,99468.0,1865.0,2705422.0,225590.0,11992656.0,South America,2023-02-26
Tunisia,1150793,0.0,29330.0,0.0,,,,95528.0,2435.0,5001397.0,415169.0,12046656.0,Africa,2023-02-26
Cuba,1112583,5.0,8530.0,0.0,1103971.0,6.0,82.0,98409.0,754.0,14316639.0,1266326.0,11305652.0,North America,2023-02-26
Ecuador,1056578,0.0,36008.0,0.0,1015999.0,0.0,4571.0,58331.0,1988.0,3082403.0,170173.0,18113361.0,South America,2023-02-26
UAE,1051862,130.0,2349.0,0.0,1034975.0,76.0,14538.0,104333.0,233.0,199149334.0,19753380.0,10081785.0,Asia,2023-02-26
Uruguay,1034046,0.0,7617.0,0.0,1025995.0,0.0,434.0,295778.0,2179.0,6114822.0,1749083.0,3496016.0,South America,2023-02-26
Panama,1031014,0.0,8603.0,0.0,1021886.0,0.0,525.0,231847.0,1935.0,7522110.0,1691516.0,4446964.0,North America,2023-02-26
Mongolia,1007896,0.0,2179.0,0.0,1005709.0,0.0,8.0,298364.0,645.0,4030048.0,1193000.0,3378078.0,Asia,2023-02-26
Nepal,1001140,0.0,12020.0,0.0,989113.0,0.0,7.0,33122.0,398.0,6011031.0,198872.0,30225582.0,Asia,2023-02-26
Belarus,994037,0.0,7118.0,0.0,985592.0,0.0,1327.0,105381.0,755.0,13646641.0,1446722.0,9432800.0,Europe,2023-02-26
Latvia,975968,14.0,6239.0,0.0,969392.0,16.0,337.0,527882.0,3375.0,7864260.0,4253625.0,1848837.0,Europe,2023-02-26
Saudi Arabia,829287,59.0,9614.0,1.0,816630.0,45.0,3043.0,23135.0,268.0,45135808.0,1259197.0,35844909.0,Asia,2023-02-26
Azerbaijan,828512,20.0,10117.0,1.0,818238.0,9.0,157.0,80436.0,982.0,7522178.0,730294.0,10300205.0,Asia,2023-02-26
Paraguay,808327,0.0,19870.0,0.0,,,,110641.0,2720.0,2657506.0,363751.0,7305843.0,South America,2023-02-26
Bahrain,706250,0.0,1548.0,0.0,706013.0,0.0,-1311.0,395884.0,868.0,10732586.0,6016081.0,1783983.0,Asia,2023-02-26
Sri Lanka,672027,1.0,16830.0,0.0,655196.0,1.0,1.0,31147.0,780.0,6486117.0,300619.0,21575842.0,Asia,2023-02-26
Kuwait,663456,0.0,2570.0,0.0,660237.0,0.0,649.0,151463.0,587.0,8455743.0,1930391.0,4380326.0,Asia,2023-02-26
Dominican Republic,660533,0.0,4384.0,0.0,644785.0,0.0,11364.0,59742.0,397.0,3740928.0,338350.0,11056370.0,North America,2023-02-26
Cyprus,649093,0.0,1305.0,0.0,642855.0,0.0,4933.0,530570.0,1067.0,9640118.0,7879860.0,1223387.0,Asia,2023-02-26
Myanmar,633911,4.0,19490.0,0.0,614397.0,2.0,24.0,11478.0,353.0,10044941.0,181884.0,55227143.0,Asia,2023-02-26
Palestine,621008,0.0,5404.0,0.0,615445.0,0.0,159.0,116173.0,1011.0,3078533.0,575907.0,5345541.0,Asia,2023-02-26
Estonia,614848,0.0,2934.0,0.0,524990.0,0.0,86924.0,465121.0,2220.0,3671717.0,2777585.0,1321910.0,Europe,2023-02-26
Moldova,603750,0.0,11974.0,0.0,504142.0,0.0,87634.0,150442.0,2984.0,3216305.0,801437.0,4013171.0,Europe,2023-02-26
Venezuela,551974,0.0,5853.0,0.0,545841.0,0.0,280.0,18860.0,200.0,3359014.0,114771.0,29266991.0,South America,2023-02-26
Egypt,515698,0.0,24613.0,0.0,442182.0,0.0,48903.0,4858.0,232.0,3693367.0,34792.0,106156692.0,Africa,2023-02-26
Libya,507171,0.0,6437.0,0.0,500733.0,0.0,1.0,72034.0,914.0,2483538.0,352738.0,7040745.0,Africa,2023-02-26
China,503302,0.0,5272.0,0.0,379053.0,0.0,118977.0,347.0,4.0,160000000.0,110461.0,1448471400.0,Asia,2023-02-26
Ethiopia,499959,0.0,7572.0,0.0,487221.0,0.0,5166.0,4138.0,63.0,5486754.0,45415.0,120812698.0,Africa,2023-02-26
