#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent
,World,680788906,+64785,6806351,+552,653647296,+117898,20335259,40671,87339,873.2,,,,All
1,USA,105434234,+5404,1147125,+36,102898370,+33674,1388739,2724,314912,3426,1167729364,3487787,334805269,North America
2,India,44688367,+266,530775,,44154622,+197,2970,-,31770,377,919232902,653499,1406631776,Asia
3,France,39639112,+953,165073,+43,39405445,+5692,68594,869,604397,2517,271490188,4139547,65584518,Europe
4,Germany,38221663,+10813,168583,+186,37767300,+17500,285780,-,455651,2010,122332384,1458359,83883596,Europe
5,Brazil,37076053,,699276,,36249161,,127616,-,172164,3247,63776166,296146,215353593,South America
6,Japan,33264643,+4415,72805,+34,21694886,+1551,11496952,131,264878,580,95651487,761648,125584838,Asia
7,S. Korea,30569215,+4300,34034,+9,30363195,,171986,145,595544,663,15804065,307892,51329899,Asia
8,Italy,25603510,,188322,,25267118,,148070,137,424864,3125,268196399,4450449,60262770,Europe
9,UK,24370154,,206952,,24106232,+3964,56970,-,355780,3021,522526476,7628357,68497907,Europe
10,Russia,22353291,+11163,396336,+38,21686422,+9166,270533,-,153308,2718,273400000,1875095,145805947,Europe
11,Turkey,17042722,,101492,,-,-,-,,199186,1186,162743369,1902052,85561976,Asia
12,Spain,13770429,,119479,,13615878,,35072,231,294749,2557,471036328,10082298,46719142,Europe
13,Vietnam,11526966,,43186,,10614790,,868990,3,116489,436,85826548,867342,98953541,Asia
14,Australia,11385534,,19459,,11332576,,33499,27,436750,746,78835048,3024116,26068792,Australia/Oceania
15,Taiwan,10112119,+7082,18248,+45,9824044,+20441,269827,,423303,764,30742304,1286903,23888595,Asia
16,Argentina,10044125,,130463,,9909866,,3796,363,218302,2836,35716069,776264,46010234,South America
17,Netherlands,8598966,+784,22992,,8560677,+381,15297,53,499607,1336,25984435,1509718,17211447,Europe
18,Iran,7570743,+511,144902,+9,7339796,+92,86045,354,88009,1684,55353767,643478,86022837,Asia
19,Mexico,7470653,+525,333100,+4,6706771,+2912,430782,-,56784,2532,19572325,148768,131562772,North America
20,Indonesia,6737303,+144,160932,+2,6573403,+218,2968,-,24136,577,114158919,408975,279134505,Asia
21,Poland,6432765,+450,118952,,5335940,,977873,696,170450,3152,38311975,1015161,37739785,Europe
22,Colombia,6360089,,142629,,6183658,,33802,342,123466,2769,36951507,717327,51512762,South America
23,Austria,5943460,+2524,21939,+5,5868274,+5358,53247,72,655526,2420,211273524,23302116,9066710,Europe
24,Greece,5871458,,36185,,5816944,+2619,18329,115,569125,3507,102228365,9909078,10316637,Europe
25,Portugal,5568084,,26180,,5538074,,3830,61,549090,2582,45980330,4534294,10140570,Europe
26,Ukraine,5389439,,111235,,5265577,,12627,,124778,2575,32603805,754855,43192122,Europe
27,Chile,5182360,+2031,64247,+17,5111313,+2710,6800,83,269211,3337,48526135,2520813,19250195,South America
28,Malaysia,5043978,+188,36966,,4997801,+181,9211,2,152014,1114,68261996,2057257,33181072,Asia
29,Israel,4801511,,12307,,4781252,,7952,57,514852,1320,41373364,4436346,9326000,Asia
30,DPRK,4772813,,74,,4772739,,0,,183636,3,,,25990679,Asia
31,Thailand,4728182,+147,33918,+7,4692636,,1628,-,67470,484,17270775,246450,70078203,Asia
32,Belgium,4727795,,33775,,4662420,+792,31600,43,405184,2895,36752058,3149741,11668278,Europe
33,Czechia,4614150,+119,42481,+6,4563866,+1063,7803,42,429752,3957,57018828,5310606,10736784,Europe
34,Canada,4600615,+1352,51447,+28,4508184,+1530,40984,99,119844,1340,66343123,1728207,38388419,North America
35,Peru,4486832,,219493,,4265276,,2063,33,133203,6516,38089514,1130783,33684208,South America
36,Switzerland,4391007,,14452,,4373026,,3529,39,500477,1647,23833472,2716487,8773637,Europe
37,Philippines,4077096,+104,66160,+7,4002009,+103,8927,162,36238,588,34642735,307911,112508994,Asia
38,South Africa,4065857,+968,102595,,3912506,,50756,192,66921,1689,26795090,441027,60756135,Africa
39,Romania,3346046,+5704,67736,+32,3263301,,15009,119,175818,3559,26750616,1405609,19031335,Europe
40,Denmark,3175554,+45,8284,+3,3166397,+54,873,19,544230,1420,129203437,22143024,5834950,Europe
41,Hong Kong,2883715,+15,13466,+3,2862643,+3282,7606,28,379222,1771,76127725,10011143,7604299,Asia
42,Sweden,2698535,,23703,,2671785,+184,3047,8,264071,2320,19477620,1906026,10218971,Europe
43,Serbia,2497248,+953,17864,+9,2464816,+573,14568,12,288599,2064,12441138,1437781,8653016,Europe
44,Iraq,2465545,,25375,,2439497,,673,21,58474,602,19544451,463523,42164965,Asia
45,Singapore,2230570,,1722,,2149583,,79265,1,375293,290,24756666,4165302,5943546,Asia
46,New Zealand,2228291,+1634,3922,+3,2214316,+1280,10053,,454920,801,7768604,1586011,4898203,Australia/Oceania
47,Hungary,2195926,,48751,,2143184,,3991,13,228593,5075,11394556,1186160,9606259,Europe
48,Bangladesh,2037829,,29445,,1998448,,9936,-,12138,175,15254399,90862,167885689,Asia
49,Slovakia,1863419,+21,21031,+1,1841122,+12,1266,20,341273,3852,7406005,1356363,5460193,Europe
50,Georgia,1825598,,16965,,1776548,,32085,,459995,4275,16920079,4263340,3968738,Asia
51,Jordan,1746997,,14122,,1731007,,1868,59,169597,1371,17201885,1669945,10300869,Asia
52,Ireland,1703850,,8691,,1692863,+11,2296,10,339399,1731,13036159,2596741,5020199,Europe
53,Pakistan,1577214,+50,30643,,1538689,,7882,7,6873,134,30570862,133213,229488994,Asia
54,Norway,1479334,+75,5213,,1473396,+25,725,20,268415,946,11002430,1996315,5511370,Europe
55,Finland,1462976,,8936,,1452239,+72,1801,21,263364,1609,12047792,2168835,5554960,Europe
56,Kazakhstan,1408124,,13846,,1383020,,11258,24,73321,721,11575012,602707,19205043,Asia
57,Slovenia,1329998,+121,7074,,1318458,+1,4466,8,640027,3404,2839516,1366443,2078034,Europe
58,Lithuania,1306387,+60,9594,,1291050,+589,5743,7,490808,3604,10383613,3901109,2661708,Europe
59,Bulgaria,1297243,+181,38219,,1256028,+165,2996,26,189528,5584,11066587,1616835,6844597,Europe
60,Morocco,1272490,+3,16296,,1256151,+10,43,3,33688,431,12992640,343969,37772756,Africa
61,Croatia,1269326,+334,17987,+16,1250890,+341,449,5,312697,4431,5521987,1360335,4059286,Europe
62,Guatemala,1237575,+11,20178,,1216350,+30,1047,5,66593,1086,6948424,373892,18584039,North America
63,Lebanon,1232517,,10840,,1087587,,134090,74,184375,1622,4795578,717380,6684849,Asia
64,Costa Rica,1204164,,9230,,860711,,334223,52,232358,1781,4659757,899158,5182354,North America
65,Bolivia,1193970,+62,22365,,1159308,+272,12297,220,99558,1865,2705422,225590,11992656,South America
66,Tunisia,1150962,,29331,,-,-,-,44,95542,2435,5002248,415240,12046656,Africa
67,Cuba,1112631,+6,8530,,1104011,+3,90,,98414,754,14319601,1266588,11305652,North America
68,Ecuador,1057121,,36014,,1020564,,543,759,58361,1988,3082403,170173,18113361,South America
69,UAE,1052784,+265,2349,,1035687,+180,14748,,104424,233,199341843,19772475,10081785,Asia
70,Uruguay,1034303,,7617,,1026186,,500,18,295852,2179,6114822,1749083,3496016,South America
71,Panama,1031731,+458,8609,+5,1022524,+225,598,16,232008,1936,7548346,1697416,4446964,North America
72,Mongolia,1007897,,2179,,1005716,,2,192,298364,645,4030048,1193000,3378078,Asia
73,Nepal,1001149,,12020,,989124,+1,5,,33123,398,6014421,198984,30225582,Asia
74,Belarus,994037,,7118,,985592,,1327,,105381,755,13646641,1446722,9432800,Europe
75,Latvia,976162,+13,6245,,969563,+12,354,13,527987,3378,7865783,4254449,1848837,Europe
76,Saudi Arabia,829882,+98,9617,,817003,+65,3262,37,23152,268,45164013,1259984,35844909,Asia
77,Azerbaijan,828730,+9,10129,,818386,+3,215,,80458,983,7532959,731341,10300205,Asia
78,Paraguay,808401,,19878,,-,-,-,7,110651,2721,2657506,363751,7305843,South America
79,Bahrain,709230,,1552,,706013,,1665,5,397554,870,10744948,6023010,1783983,Asia
80,Sri Lanka,672034,,16830,,655202,,2,,31148,780,6486117,300619,21575842,Asia
81,Kuwait,663456,,2570,,660237,,649,,151463,587,8455743,1930391,4380326,Asia
82,Dominican Republic,660705,,4384,,644785,,11536,4,59758,397,3740928,338350,11056370,North America
83,Cyprus,650685,,1330,,644185,,5170,60,531872,1087,9640118,7879860,1223387,Asia
84,Myanmar,633947,+1,19490,,614411,+1,46,,11479,353,10075024,182429,55227143,Asia
85,Palestine,621008,,5404,,615445,,159,17,116173,1011,3078533,575907,5345541,Asia
86,Estonia,615118,,2940,,524990,,87188,3,465325,2224,3675293,2780290,1321910,Europe
87,Moldova,607450,,11988,,504142,,91320,49,151364,2987,3216305,801437,4013171,Europe
88,Venezuela,552154,+29,5854,,545921,+4,379,36,18866,200,3359014,114771,29266991,South America
89,Egypt,515698,,24613,,442182,,48903,122,4858,232,3693367,34792,106156692,Africa
90,Libya,507187,+13,6437,,500737,+3,13,,72036,914,2483812,352777,7040745,Africa
91,China,503302,,5272,,379053,,118977,7557,347,4,160000000,110461,1448471400,Asia
92,Ethiopia,500060,+10,7572,,487316,+15,5172,1,4139,63,5494155,45477,120812698,Africa
93,Qatar,494737,+124,688,+1,493640,+205,409,36,166024,231,4065369,1364257,2979915,Asia
94,Réunion,486588,,921,,418572,,67095,10,535854,1014,1603660,1766027,908061,Africa
95,Honduras,472219,,11111,,-,-,-,105,46200,1087,1635233,159984,10221247,North America
96,Armenia,446819,,8721,,435162,,2936,,150345,2934,3242901,1091164,2971966,Asia
97,Bosnia and Herzegovina,401636,,16279,,379084,,6273,,123606,5010,1884721,580036,3249317,Europe
98,Oman,399449,,4628,,384669,,10152,2,75028,869,25000000,4695724,5323993,Asia
99,North Macedonia,346852,,9662,,337068,,122,,166651,4642,2226216,1069626,2081304,Europe
100,Zambia,343135,,4057,,338854,,224,,17624,208,3943335,202531,19470234,Africa
101,Kenya,342919,,5688,,337216,,15,1,6100,101,3967062,70569,56215221,Africa
102,Albania,334427,,3597,,329169,,1661,,116672,1255,1941032,677173,2866374,Europe
103,Botswana,329727,,2801,,326868,,58,1,135070,1147,2026898,830300,2441162,Africa
104,Luxembourg,297757,,1133,,288991,,7633,,463528,1764,4412567,6869188,642371,Europe
105,Montenegro,288630,+78,2807,+2,285130,,693,6,459639,4470,2721065,4333251,627950,Europe
106,Brunei,278698,,225,,243601,,34872,,625682,505,717784,1611437,445431,Asia
107,Algeria,271477,,6881,,182804,+1,81792,,5986,152,230861,5091,45350148,Africa
108,Nigeria,266598,,3155,,259917,,3526,11,1230,15,5708974,26339,216746934,Africa
109,Zimbabwe,264127,,5668,,257839,,620,12,17228,370,2525756,164744,15331428,Africa
110,Uzbekistan,251071,,1637,,241486,,7948,23,7302,48,1377915,40077,34382084,Asia
111,Mozambique,233098,,2242,,228805,,2051,11,7044,68,1371127,41437,33089461,Africa
112,Martinique,229807,,1098,,-,-,-,12,614314,2935,828928,2215870,374087,North America
113,Laos,218020,,758,,-,-,-,,29143,101,1233207,164845,7481023,Asia
114,Afghanistan,209415,+21,7896,,191243,+10,10276,45,5138,194,1202868,29515,40754388,Asia
115,Iceland,209093,,229,,-,-,-,2,605377,663,1996384,5780036,345393,Europe
116,Kyrgyzstan,206673,,2991,,196406,,7276,131,30717,445,1907195,283460,6728271,Asia
117,Guadeloupe,201852,,1010,,-,-,-,19,504890,2526,938039,2346306,399794,North America
118,El Salvador,201785,,4230,,179410,,18145,8,30805,646,2610114,398467,6550389,North America
