#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,DateCollected
,World,681162372,122171.0,6809557.0,686.0,654005099,+177338,20347716,40463,87387.0,873.6,,,,All,08-03-2023
1.0,USA,105538796,15574.0,1148262.0,142.0,103053999,+78320,1336535,2482,315224.0,3430.0,1168329542.0,3489579.0,334805269.0,North America,08-03-2023
2.0,India,44689072,379.0,530776.0,1.0,44155119,+277,3177,-,31770.0,377.0,919314929.0,653558.0,1406631776.0,Asia,08-03-2023
3.0,France,39639112,,165073.0,,39409374,+3972,64665,869,604397.0,2517.0,271490188.0,4139547.0,65584518.0,Europe,08-03-2023
4.0,Germany,38241231,9621.0,168808.0,99.0,37806500,+18300,265923,-,455884.0,2012.0,122332384.0,1458359.0,83883596.0,Europe,08-03-2023
5.0,Brazil,37085520,9467.0,699310.0,34.0,36249161,,137049,-,172208.0,3247.0,63776166.0,296146.0,215353593.0,South America,08-03-2023
6.0,Japan,33288462,11805.0,72909.0,69.0,21696252,+538,11519301,128,265068.0,581.0,95858172.0,763294.0,125584838.0,Asia,08-03-2023
7.0,S. Korea,30594297,12798.0,34061.0,12.0,30385248,+10626,174988,139,596033.0,664.0,15804065.0,307892.0,51329899.0,Asia,08-03-2023
8.0,Italy,25603510,,188322.0,,25267118,,148070,137,424864.0,3125.0,268196399.0,4450449.0,60262770.0,Europe,08-03-2023
9.0,UK,24396534,,207695.0,,24113546,+3624,75293,-,356165.0,3032.0,522526476.0,7628357.0,68497907.0,Europe,08-03-2023
10.0,Russia,22376060,12320.0,396423.0,45.0,21717232,+16437,262405,-,153465.0,2719.0,273400000.0,1875095.0,145805947.0,Europe,08-03-2023
11.0,Turkey,17042722,,101492.0,,-,-,-,,199186.0,1186.0,162743369.0,1902052.0,85561976.0,Asia,08-03-2023
12.0,Spain,13770429,,119479.0,,13615878,,35072,231,294749.0,2557.0,471036328.0,10082298.0,46719142.0,Europe,08-03-2023
13.0,Vietnam,11526994,8.0,43186.0,,10614807,+5,869001,3,116489.0,436.0,85826548.0,867342.0,98953541.0,Asia,08-03-2023
14.0,Australia,11385534,,19459.0,,11332576,,33499,27,436750.0,746.0,78835048.0,3024116.0,26068792.0,Australia/Oceania,08-03-2023
15.0,Taiwan,10134204,11053.0,18322.0,40.0,9860561,+16708,255321,,424228.0,767.0,30742304.0,1286903.0,23888595.0,Asia,08-03-2023
16.0,Argentina,10044957,832.0,130472.0,9.0,9911673,,2812,363,218320.0,2836.0,35716069.0,776264.0,46010234.0,South America,08-03-2023
17.0,Netherlands,8600120,,22992.0,,8561110,,16018,53,499674.0,1336.0,25984435.0,1509718.0,17211447.0,Europe,08-03-2023
18.0,Iran,7571996,644.0,144922.0,15.0,7339963,+94,87111,382,88023.0,1685.0,55353767.0,643478.0,86022837.0,Asia,08-03-2023
19.0,Mexico,7475219,,333136.0,,6713635,,428448,-,56819.0,2532.0,19572325.0,148768.0,131562772.0,North America,08-03-2023
20.0,Indonesia,6737918,312.0,160937.0,3.0,6573886,+137,3095,-,24139.0,577.0,114158919.0,408975.0,279134505.0,Asia,08-03-2023
21.0,Poland,6441498,3904.0,118989.0,19.0,5335940,,986569,696,170682.0,3153.0,38335838.0,1015794.0,37739785.0,Europe,08-03-2023
22.0,Colombia,6360780,691.0,142639.0,10.0,6184346,+688,33795,342,123480.0,2769.0,36951507.0,717327.0,51512762.0,South America,08-03-2023
23.0,Austria,5956079,6334.0,21972.0,10.0,5881200,+6249,52907,72,656917.0,2423.0,211273524.0,23302116.0,9066710.0,Europe,08-03-2023
24.0,Greece,5896788,,36283.0,,5822181,+2619,38324,115,571580.0,3517.0,102228365.0,9909078.0,10316637.0,Europe,08-03-2023
25.0,Portugal,5570473,,26266.0,,5538745,,5462,61,549325.0,2590.0,45994869.0,4535728.0,10140570.0,Europe,08-03-2023
26.0,Ukraine,5399231,,111298.0,,5270860,+5283,17073,,125005.0,2577.0,32603805.0,754855.0,43192122.0,Europe,08-03-2023
27.0,Chile,5188380,3798.0,64254.0,4.0,5116507,+2602,7619,88,269524.0,3338.0,48553965.0,2522258.0,19250195.0,South America,08-03-2023
28.0,Malaysia,5044439,235.0,36967.0,1.0,4998219,+216,9253,7,152028.0,1114.0,68274644.0,2057638.0,33181072.0,Asia,08-03-2023
29.0,Israel,4803173,1662.0,12325.0,18.0,4781252,,9596,57,515030.0,1322.0,41373364.0,4436346.0,9326000.0,Asia,08-03-2023
30.0,DPRK,4772813,,74.0,,4772739,,0,,183636.0,3.0,,,25990679.0,Asia,08-03-2023
31.0,Belgium,4737712,1653.0,33808.0,5.0,4664005,+792,39899,43,406034.0,2897.0,36752058.0,3149741.0,11668278.0,Europe,08-03-2023
32.0,Thailand,4728182,,33918.0,,4692636,,1628,-,67470.0,484.0,17270775.0,246450.0,70078203.0,Asia,08-03-2023
33.0,Czechia,4617122,1151.0,42493.0,6.0,4565096,+174,9533,37,430028.0,3958.0,57031770.0,5311811.0,10736784.0,Europe,08-03-2023
34.0,Canada,4600615,,51447.0,,4510957,,38211,99,119844.0,1340.0,66343123.0,1728207.0,38388419.0,North America,08-03-2023
35.0,Peru,4487266,332.0,219538.0,25.0,4265390,+73,2338,31,133216.0,6518.0,38111809.0,1131444.0,33684208.0,South America,08-03-2023
36.0,Switzerland,4392464,,14452.0,,4373995,+969,4017,39,500643.0,1647.0,23833472.0,2716487.0,8773637.0,Europe,08-03-2023
