#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop,Population
,World,679767596,+46094,6798868,+254,652592855,+81394,20375873,40515,87208,872.2,,,
1,USA,105251154,,1145293,,102620644,,1485217,2588,314365,3421,1166740145,3484832,334805269
2,India,44686202,,530770,,44153203,,2229,-,31768,377,918535118,653003,1406631776
3,France,39615739,,164877,,39378241,,72621,869,604041,2514,271490188,4139547,65584518
4,Germany,38111063,,167812,,37679400,+17900,263851,-,454333,2001,122332384,1458359,83883596
5,Brazil,37024417,,698934,,36185975,,139508,-,171924,3246,63776166,296146,215353593
6,Japan,33190296,+5330,72320,+52,21683904,+1535,11434072,170,264286,576,95014492,756576,125584838
7,S. Korea,30502904,+4026,33961,+15,30278033,,190910,163,594252,662,15804065,307892,51329899
8,Italy,25576852,,188094,,25219653,,169105,133,424422,3121,267663187,4441601,60262770
9,UK,24341615,,206246,,24084330,+3549,51039,-,355363,3011,522526476,7628357,68497907
10,Russia,22262717,+9580,396065,+30,21600487,+9250,266165,-,152687,2716,273400000,1875095,145805947
11,Turkey,17042722,,101492,,-,-,-,,199186,1186,162743369,1902052,85561976
12,Spain,13763336,,119380,,13607068,,36888,231,294597,2555,471036328,10082298,46719142
13,Vietnam,11526905,+4,43186,,10614763,+3,868956,4,116488,436,85826548,867342,98953541
14,Australia,11366361,,19373,,11314814,,32174,36,436014,743,78835048,3024116,26068792
15,Argentina,10043308,,130458,,9909415,+457,3435,363,218284,2835,35716069,776264,46010234
16,Taiwan,10033108,+7745,17908,+44,9690990,+23339,324210,,419996,750,30742304,1286903,23888595
17,Netherlands,8591721,,22992,,8558429,+302,10300,53,499186,1336,25984435,1509718,17211447
18,Iran,7567824,+122,144845,+3,7339283,+78,83696,282,87975,1684,55034937,639771,86022837
19,Mexico,7450992,+7841,332986,+48,6687704,+7415,430302,-,56635,2531,19571192,148759,131562772
20,Indonesia,6735780,+152,160911,+3,6571457,+270,3412,-,24131,576,114158919,408975,279134505
21,Poland,6415711,+432,118868,,5335940,,960903,696,169999,3150,38260137,1013788,37739785
22,Colombia,6359464,,142615,,6182304,,34545,342,123454,2769,36951507,717327,51512762
23,Austria,5905405,+3262,21872,,5829455,+3885,54078,72,651328,2412,211273524,23302116,9066710
24,Greece,5849949,,36077,,5801783,,12089,115,567040,3497,102228365,9909078,10316637
25,Portugal,5566708,,26117,,5537148,,3443,61,548954,2575,45968702,4533148,10140570
26,Ukraine,5382095,,111175,,5261929,,8991,,124608,2574,32603805,754855,43192122
27,Chile,5163316,,64166,,5093198,,5952,79,268221,3333,48421758,2515391,19250195
28,Malaysia,5042395,,36957,,4996232,,9206,10,151966,1114,68070708,2051492,33181072
29,Israel,4797689,,12269,,4781252,,4168,57,514442,1316,41373364,4436346,9326000
30,DPRK,4772813,,74,,4772739,,0,,183636,3,,,25990679
31,Thailand,4728035,+204,33911,+9,4692636,,1488,-,67468,484,17270775,246450,70078203
32,Belgium,4717655,,33717,,4658340,+558,25598,43,404315,2890,36709556,3146099,11668278
33,Czechia,4608120,+96,42426,+2,4557172,+840,8522,32,429190,3951,56990911,5308006,10736784
34,Canada,4581763,,51061,,4497620,+1576,33082,99,119353,1330,66343123,1728207,38388419
35,Peru,4485282,,219395,,4264334,+110,1553,40,133157,6513,37997691,1128057,33684208
36,Switzerland,4389655,,14452,,4371249,,3954,39,500323,1647,23833472,2716487,8773637
37,Philippines,4076237,+95,66108,+11,4000837,+24,9292,162,36230,588,34584000,307389,112508994
38,South Africa,4061383,,102595,,3912506,,46282,192,66847,1689,26473049,435726,60756135
39,Romania,3340342,+5211,67704,+29,3260130,,12508,115,175518,3558,26676248,1401701,19031335
40,Denmark,3175129,+51,8255,+1,3165922,+240,952,19,544157,1415,129194046,22141414,5834950
41,Hong Kong,2883250,+93,13451,,2844603,+2735,25196,28,379161,1769,76127725,10011143,7604299
42,Sweden,2697827,,23633,,2670437,+202,3757,9,264002,2313,19469139,1905196,10218971
43,Serbia,2490810,,17816,,2459367,,13627,16,287855,2059,12377861,1430468,8653016
44,Iraq,2465545,,25375,,2439497,,673,21,58474,602,19544451,463523,42164965
45,Singapore,2222006,,1722,,2149583,,70701,1,373852,290,24756666,4165302,5943546
46,New Zealand,2216852,+1297,3904,+6,2205354,+1176,7594,,452585,797,7768604,1586011,4898203
47,Hungary,2194969,,48745,,2142682,,3542,6,228494,5074,11394556,1186160,9606259
48,Bangladesh,2037773,,29445,,1998448,,9880,-,12138,175,15254399,90862,167885689
49,Slovakia,1862779,+19,21017,,1840582,+13,1180,20,341156,3849,7402309,1355686,5460193
50,Georgia,1825598,,16965,,1776548,,32085,,459995,4275,16920079,4263340,3968738
51,Jordan,1746997,,14122,,1731007,,1868,59,169597,1371,17201885,1669945,10300869
52,Ireland,1702523,,8629,,1692064,+126,1830,11,339135,1719,13024205,2594360,5020199
53,Pakistan,1576939,+23,30643,,1538689,,7607,13,6872,134,30570862,133213,229488994
54,Norway,1478907,,5112,,1473175,,620,20,268337,928,11002430,1996315,5511370
55,Finland,1462169,,8892,,1451702,+96,1575,21,263219,1601,12047792,2168835,5554960
56,Kazakhstan,1407351,,13846,,1383020,,10485,24,73280,721,11575012,602707,19205043
57,Slovenia,1327594,+78,7071,,1316833,+71,3690,6,638870,3403,2836480,1364982,2078034
58,Lithuania,1304114,+46,9585,,1288956,+598,5573,5,489954,3601,10376092,3898283,2661708
59,Bulgaria,1296668,,38211,,1255510,,2947,26,189444,5583,11048403,1614179,6844597
60,Morocco,1272445,,16296,,1256077,,72,3,33687,431,12981405,343671,37772756
61,Croatia,1268666,,17950,,1250175,,541,10,312534,4422,5503682,1355825,4059286
62,Guatemala,1235970,,20168,,1214612,,1190,5,66507,1085,6909090,371775,18584039
63,Lebanon,1231713,,10825,,1087587,,133301,74,184254,1619,4795578,717380,6684849
64,Costa Rica,1199055,,9214,,860711,,329130,52,231373,1778,4659757,899158,5182354
65,Bolivia,1192933,+45,22365,,1157318,+207,13250,220,99472,1865,2705422,225590,11992656
66,Tunisia,1150793,,29330,,-,-,-,44,95528,2435,5001397,415169,12046656
67,Cuba,1112583,,8530,,1103971,,82,2,98409,754,14316639,1266326,11305652
68,Ecuador,1056578,,36008,,1020570,+4571,0,759,58331,1988,3082403,170173,18113361
69,UAE,1051930,+68,2349,,1035074,+99,14507,,104340,233,199206191,19759020,10081785
70,Uruguay,1034046,,7617,,1025995,,434,18,295778,2179,6114822,1749083,3496016
71,Panama,1031014,,8603,,1021886,,525,16,231847,1935,7522110,1691516,4446964
72,Mongolia,1007896,,2179,,1005709,,8,192,298364,645,4030048,1193000,3378078
73,Nepal,1001143,+3,12020,,989115,+2,8,,33122,398,6012867,198933,30225582
74,Belarus,994037,,7118,,985592,,1327,,105381,755,13646641,1446722,9432800
75,Latvia,975977,+9,6239,,969402,+10,336,13,527887,3375,7864358,4253678,1848837
76,Saudi Arabia,829388,+101,9615,+1,816685,+55,3088,29,23138,268,45140040,1259315,35844909
77,Azerbaijan,828512,,10117,,818238,,157,,80436,982,7522178,730294,10300205
78,Paraguay,808327,,19870,,-,-,-,7,110641,2720,2657506,363751,7305843
79,Bahrain,706250,,1548,,706013,,-1311,3,395884,868,10732586,6016081,1783983
80,Sri Lanka,672027,,16830,,655196,,1,,31147,780,6486117,300619,21575842
81,Kuwait,663456,,2570,,660237,,649,,151463,587,8455743,1930391,4380326
82,Dominican Republic,660533,,4384,,644785,,11364,4,59742,397,3740928,338350,11056370
83,Cyprus,649093,,1305,,642855,,4933,60,530570,1067,9640118,7879860,1223387
84,Myanmar,633911,,19490,,614397,,24,,11478,353,10044941,181884,55227143
85,Palestine,621008,,5404,,615445,,159,17,116173,1011,3078533,575907,5345541
86,Estonia,614848,,2934,,524990,,86924,1,465121,2220,3671717,2777585,1321910
87,Moldova,603750,,11974,,504142,,87634,49,150442,2984,3216305,801437,4013171
88,Venezuela,551974,,5853,,545841,,280,36,18860,200,3359014,114771,29266991
89,Egypt,515698,,24613,,442182,,48903,122,4858,232,3693367,34792,106156692
90,Libya,507174,+3,6437,,500734,+1,3,,72034,914,2483676,352758,7040745
91,China,503302,,5272,,379053,,118977,-,347,4,160000000,110461,1448471400
92,Ethiopia,499959,,7572,,487221,,5166,,4138,63,5486754,45415,120812698
93,Qatar,494056,+120,686,,493016,+87,354,28,165795,230,4065369,1364257,2979915
94,Réunion,486588,,921,,418572,,67095,10,535854,1014,1603660,1766027,908061
95,Honduras,471557,,11109,,-,-,-,105,46135,1087,1626616,159141,10221247
96,Armenia,446819,,8721,,435162,,2936,,150345,2934,3242901,1091164,2971966
97,Bosnia and Herzegovina,401575,,16278,,379084,,6213,,123588,5010,1884721,580036,3249317
98,Oman,399449,,4628,,384669,,10152,2,75028,869,25000000,4695724,5323993
99,North Macedonia,346852,,9662,,337068,,122,,166651,4642,2226216,1069626,2081304
100,Kenya,342900,,5688,,337183,,29,1,6100,101,3967062,70569,56215221
101,Zambia,342831,,4055,,338289,,487,,17608,208,3923997,201538,19470234
102,Albania,334378,,3596,,329127,,1655,,116655,1255,1941032,677173,2866374
103,Botswana,329662,,2801,,326868,,-7,1,135043,1147,2026898,830300,2441162
104,Luxembourg,297757,,1133,,288991,,7633,,463528,1764,4412567,6869188,642371
105,Montenegro,288088,,2801,,284463,,824,6,458775,4461,2714923,4323470,627950
106,Brunei,277992,,225,,243601,,34166,3,624097,505,717784,1611437,445431
107,Algeria,271440,,6881,,182791,,81768,,5985,152,230861,5091,45350148
108,Nigeria,266463,,3155,,259850,,3458,11,1229,15,5708974,26339,216746934
109,Zimbabwe,263921,,5663,,257205,,1053,12,17214,369,2525756,164744,15331428
110,Uzbekistan,250932,,1637,,241486,,7809,23,7298,48,1377915,40077,34382084
111,Mozambique,233098,,2242,,228805,,2051,11,7044,68,1371127,41437,33089461
112,Martinique,229807,,1098,,-,-,-,12,614314,2935,828928,2215870,374087
113,Laos,218015,,758,,-,-,-,,29142,101,1233207,164845,7481023
114,Afghanistan,209308,+34,7896,,190673,+25,10739,45,5136,194,1200009,29445,40754388
115,Iceland,208999,,229,,-,-,-,2,605105,663,1996384,5780036,345393
116,Kyrgyzstan,206633,,2991,,196406,,7236,131,30711,445,1907195,283460,6728271
117,Guadeloupe,201852,,1010,,-,-,-,19,504890,2526,938039,2346306,399794
118,El Salvador,201785,,4230,,179410,,18145,8,30805,646,2610114,398467,6550389
119,Trinidad and Tobago,188737,,4339,,184363,,35,8,134181,3085,895520,636663,1406585
120,Maldives,185729,,311,,163687,,21731,25,343316,575,2213831,4092223,540985
121,Ghana,171172,,1462,,169697,,13,2,5284,45,2529956,78096,32395450
122,Namibia,171121,,4090,,166689,,342,,64969,1553,1062663,403460,2633874
123,Uganda,170478,,3630,,100431,,66417,3,3520,75,3012408,62198,48432863
124,Jamaica,154065,,3500,,102393,,48172,,51611,1172,1183986,396633,2985094
125,Cambodia,138714,,3056,,135650,,8,,8079,178,3091420,180062,17168639
126,Rwanda,133170,,1468,,131634,,68,,9792,108,5959042,438150,13600464
127,Cameroon,124328,,1965,,122333,,30,13,4454,70,1751774,62762,27911548
128,Malta,117338,,827,,115923,,588,4,264255,1862,2111209,4754622,444033
129,Barbados,106645,,575,,106057,,13,,370266,1996,794426,2758203,288023
130,Angola,105205,,1931,,103250,,24,,3004,55,1499795,42818,35027343
131,Channel Islands,101320,,227,,100975,,118,,574171,1286,1252808,7099551,176463
132,French Guiana,98041,,420,,11254,,86367,6,312065,1337,651257,2072951,314169
133,DRC,95646,,1464,,84282,,9900,,1004,15,846704,8890,95240792
134,Senegal,88917,,1971,,86938,,8,,5037,112,1146543,64946,17653671
135,Malawi,88681,,2686,,85542,,453,67,4394,133,624784,30959,20180839
136,Ivory Coast,88182,,834,,87299,,49,,3179,30,1678025,60486,27742298
137,Suriname,82227,,1400,,-,-,-,,137773,2346,240907,403644,596831
138,New Caledonia,79871,,314,,79557,,0,9,274551,1079,98964,340182,290915
139,French Polynesia,77957,,649,,-,-,-,7,274338,2284,,,284164
140,Eswatini,74199,,1423,,72726,,50,,62625,1201,1048704,885119,1184817
141,Guyana,73066,,1298,,71742,,26,,92017,1635,721408,908523,794045
142,Belize,70740,,688,,70036,,16,6,171620,1669,576016,1397453,412190
143,Fiji,68889,,883,,66850,,1156,,75747,971,668445,734986,909466
144,Madagascar,67865,,1422,,66433,,10,,2326,49,525461,18009,29178077
145,Sudan,63787,,5011,,58438,,338,,1387,109,562941,12240,45992020
146,Mauritania,63667,,997,,62439,,231,,12988,203,1009957,206030,4901981
147,Cabo Verde,63240,,413,,62770,,57,23,111401,728,401622,707482,567678
148,Bhutan,62615,,21,,61564,,1030,,79467,27,2303734,2923739,787941
149,Syria,57463,,3164,,54299,,0,,2967,163,146269,7553,19364809
150,Burundi,53609,,38,,53569,,2,,4246,3,345742,27386,12624840
151,Seychelles,50665,,172,,50440,,53,,509575,1730,,,99426
152,Gabon,48981,,306,,48674,,1,,21008,131,1621909,695641,2331533
153,Andorra,47866,,165,,47563,,138,14,617921,2130,249838,3225256,77463
154,Papua New Guinea,46792,,670,,43982,,2140,7,5036,72,249149,26813,9292169
155,Curaçao,45986,,295,,44720,,971,3,277812,1782,496693,3000640,165529
156,Aruba,44026,,236,,42438,,1352,2,409129,2193,177885,1653068,107609
157,Tanzania,42823,,846,,-,-,-,7,677,13,,,63298550
158,Mayotte,42004,,188,,-,-,-,,146734,657,176919,618038,286259
159,Mauritius,41717,,1043,,40012,,662,,32726,818,358675,281374,1274727
160,Togo,39374,,290,,39074,,10,,4536,33,808113,93092,8680837
161,Guinea,38267,,467,,37757,,43,8,2760,34,660107,47607,13865691
162,Isle of Man,38008,,116,,-,-,-,,443335,1353,150753,1758422,85732
163,Bahamas,37491,,833,,36366,,292,1,93607,2080,257839,643767,400516
164,Lesotho,34790,,723,,25980,,8087,,15990,332,431221,198199,2175699
165,Faeroe Islands,34658,,28,,-,-,-,5,703959,569,778000,15802409,49233
166,Haiti,34143,,860,,33044,,239,,2923,74,132422,11337,11680283
167,Mali,32998,,743,,32074,,181,,1537,35,795295,37036,21473764
168,Cayman Islands,31472,,37,,8553,,22882,1,467797,550,222773,3311280,67277
169,Saint Lucia,29882,,409,,29095,,378,,161426,2209,210983,1139752,185113
